ENGAGEMENT_TIER,DOMINANT_PRIOR_CAMPAIGN_TYPE,n,aipw_ate_pp,aipw_ci_95_lo_pp,aipw_ci_95_hi_pp,interaction,HIST_ACTIVE_DAYS_7D_BUCKET,HIST_IMPRESSIONS_7D_QUARTILE
,Web,619326,3.3869273323871427,3.189244458292716,3.5846102064815693,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q3
,None,128972,3.383792900247425,2.8946488256831953,3.8729369748116556,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q3
,TV,312780,3.2199414653028287,2.981983038304214,3.4578998923014437,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q3
,Web,494510,3.1484265502656386,2.928877947305473,3.3679751532258044,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q1_lowest
,None,241932,3.1073119521775534,2.785078010803744,3.429545893551363,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q2
,Web,633273,2.9387418179584497,2.753732569039847,3.1237510668770527,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q2
,TV,85780,2.6737818920506147,2.234718997707667,3.112844786393562,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q1_lowest
,TV,253992,2.652027144786314,2.3960830476279673,2.907971241944661,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q2
,Mobile,512806,2.3108247938582047,2.087413949813622,2.5342356379027873,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q4_highest
,Mobile,146040,2.186151248471961,1.7890330288221858,2.5832694681217365,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q1_lowest
,Mobile,429941,1.9211601477002134,1.7015537347220036,2.1407665606784234,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q3
,Mobile,361822,1.7615397099128238,1.5228645499170357,2.000214869908612,CAMPAIGN_TYPE_x_IMPRESSION_QUARTILE,,Q2
