dimension,segment_value,n,exposed_rate,aipw_ate_pp,aipw_se_pp,aipw_ci_95_lo_pp,aipw_ci_95_hi_pp,aipw_p_value,naive_lift_pp,control_conv_rate_pct,rel_lift_pct_vs_control,low_confidence
NETSPEED,satellite,149485,0.36479914372679534,-1.6990540294545764,0.17750757545170792,-2.046968877339924,-1.3511391815692289,0.0,-0.2222258617388423,7.3373142502079975,-23.156348106616964,False
ENGAGEMENT_TIER,No_App_Activity,728082,0.20444263146184083,2.8186461530241123,0.14562060659361792,2.533229764100621,3.104062541947603,0.0,4.363772713187713,6.046637697222697,46.61509907098874,False
ENGAGEMENT_TIER,Champion,54982,0.18595176603251973,0.4324808011394067,0.5378703200022363,-0.6217450260649766,1.48670662834379,0.42136147423590087,2.9037368478063326,5.6839000849010235,7.6088740948889795,False
ENGAGEMENT_TIER,Regular,477889,0.2774305330317291,0.12136493594048442,0.11974424583476125,-0.11333378589564762,0.35606365777661647,0.3108048795314131,2.156801264887169,5.07575845332283,2.3910699663226334,False
ENGAGEMENT_TIER,Light,4324372,0.31110297633968587,-0.37780614011499697,0.04413765334977379,-0.46431594068055365,-0.2912963395494403,0.0,2.46086254741993,7.995644244619168,-4.725149450830673,False
HIST_ACTIVE_DAYS_7D_BUCKET,0_days,587280,0.11487365481542024,2.7751185303136543,0.23451955919810527,2.3154601942853676,3.23477686634194,0.0,5.242804746721648,6.689661938720742,41.48368864876208,False
HIST_ACTIVE_DAYS_7D_BUCKET,1_day,558099,0.16764588361563093,1.2750966137321857,0.1652678425531688,0.951171642327975,1.5990215851363967,1.199040866595169e-14,3.531002277254737,6.905815695661907,18.464098521093973,False
HIST_ACTIVE_DAYS_7D_BUCKET,2-3_days,1332672,0.24251428708639486,0.15168121911296223,0.07677096222675323,0.0012101331485259203,0.30215230507739854,0.04818163694935862,2.9007853956581022,7.5338788287038865,2.0133217239313783,False
HIST_ACTIVE_DAYS_7D_BUCKET,4-7_days,3107274,0.3709885256337227,-0.6575970471940972,0.037910250781063116,-0.7319011387249809,-0.5832929556632135,0.0,2.290434392221126,7.69409842154892,-8.546771969440371,False
HIST_IMPRESSIONS_7D_QUARTILE,Q1_lowest,1396332,0.14833793109375135,1.6604624710291993,0.12245347714094969,1.420453655832938,1.9004712862254607,0.0,3.8365373993965544,6.745273935568612,24.616679572839704,False
HIST_IMPRESSIONS_7D_QUARTILE,Q2,1396331,0.2505136676046009,0.012685826370319663,0.07156667590609153,-0.1275848584056197,0.15295651114625905,0.859305075122158,2.5938319872763183,7.400736337480686,0.17141302962075386,False
HIST_IMPRESSIONS_7D_QUARTILE,Q3,1396331,0.34192394210255306,-0.620415286956107,0.05934159411454628,-0.7367248114206177,-0.5041057624915962,0.0,2.1904507678959226,7.916599556857607,-7.836891110889699,False
HIST_IMPRESSIONS_7D_QUARTILE,Q4_highest,1396331,0.431568875861096,-0.694503334627171,0.05422969453449001,-0.8007935359147714,-0.5882131333395706,0.0,2.2840954720825786,7.921957168666957,-8.766815066535337,False
STV_YEAR_BUCKET,2024-2026,3966960,0.2756284409220158,0.4749942926307111,0.05146191336800072,0.3741289424294297,0.5758596428319925,0.0,2.8729981961120976,7.083495588910314,6.705648174248126,False
STV_YEAR_BUCKET,2022-2023,1618365,0.3358784946535547,-0.8552301224814457,0.06224899250927752,-0.9772381477996296,-0.7332220971632618,0.0,2.2785524184458934,8.349623322115649,-10.24273897741228,False
DEVICE_LANGUAGE_GROUPED,UNKNOWN,588871,0.11487405560810432,2.778375781434329,0.23402426831430514,2.319688215538291,3.237063347330367,0.0,5.243907094947413,6.68732313300398,41.546904885187864,False
DEVICE_LANGUAGE_GROUPED,pt,399,0.17293233082706766,2.185928283962186,1.8627492082445518,-1.4650601641971357,5.836916732121508,0.2405970591632829,1.6205533596837944,2.727272727272727,80.15070374528015,True
DEVICE_LANGUAGE_GROUPED,ko,380,0.13421052631578947,2.183137198955945,1.5853162927335813,-0.9240827348018742,5.290357132713765,0.1684816969238243,2.2349365278026103,3.64741641337386,59.854344871375496,True
DEVICE_LANGUAGE_GROUPED,es,77333,0.19134134198854305,1.2473130796497451,0.1784664519371254,0.8975188338529793,1.5971073254465107,2.767341911180665e-12,1.6709333050708715,4.5397850837917355,27.475157009149864,False
DEVICE_LANGUAGE_GROUPED,OTHER,395,0.13924050632911392,0.37370126337118253,1.9252975058310018,-3.3998818480575808,4.147284374799946,0.8460971678262841,-1.7112299465240641,3.5294117647058822,10.588202462183505,True
DEVICE_LANGUAGE_GROUPED,en,4917947,0.31605932312812646,-0.250959173568333,0.03673512526216452,-0.3229600190821755,-0.17895832805449055,8.398171047474534e-12,2.543897379519533,7.597877739934546,-3.3030167391255625,False
DMA_CODE_TOP10,602.0,733326,0.15679247701567925,2.342180990817379,0.1933782735605081,1.963159574638783,2.721202406995975,0.0,5.098301019885572,6.930747510293591,33.79406027039301,False
DMA_CODE_TOP10,618.0,123444,0.30135932082563754,0.5810375434555036,0.21883415499147138,0.15212259967221972,1.0099524872387875,0.00792731100968913,3.251729440998677,6.809828044015166,8.532337963601737,False
DMA_CODE_TOP10,539.0,97978,0.2979750556247321,0.27978152328202655,0.24527767531869088,-0.20096272034260762,0.7605257669066606,0.2540061934964586,3.214050809924708,7.12676097291482,3.9257879469415813,False
DMA_CODE_TOP10,524.0,119934,0.2912768689445862,0.24329423742465484,0.23139341473126881,-0.21023685544863208,0.6968253302979417,0.2930606288111819,2.9961497142510756,6.994117647058823,3.478555118771348,False
DMA_CODE_TOP10,511.0,112919,0.2779248842090348,0.13743716975220743,0.2745977635447299,-0.4007744467954632,0.675648786299878,0.6167205205102348,3.0984258937447313,8.720074568288853,1.5761008541372694,False
DMA_CODE_TOP10,504.0,119717,0.28709372937845085,-0.07139143049204606,0.2795284987166002,-0.6192672879765825,0.47648442699249033,0.7984145799061362,3.004199948578709,8.06941075843322,-0.8847167733707936,False
DMA_CODE_TOP10,501.0,363204,0.2905970198566095,-0.08284002938473443,0.1684087339011024,-0.4129211478308951,0.24724108906142625,0.6227909904755105,3.3446253069621514,8.91258955669919,-0.9294720558792852,False
DMA_CODE_TOP10,803.0,288837,0.43892922305660287,-0.5325447081987281,0.14096990692502423,-0.8088457257717755,-0.25624369062568064,0.00015827125522305252,2.3350826986832787,7.637389082920929,-6.972863401573037,False
DMA_CODE_TOP10,623.0,169737,0.30890141807620025,-0.7853934677735177,0.1898858396027001,-1.15756971339481,-0.41321722215222556,3.532044425713643e-05,2.132164922166066,8.117301052811047,-9.67554933177615,False
DMA_CODE_TOP10,807.0,98989,0.3769206679530049,-2.079184133189014,0.2735021273333176,-2.6152483027623163,-1.5431199636157118,2.90878432451791e-14,1.097882800221163,10.048963974188528,-20.6905322631223,False
DOMINANT_PRIOR_CAMPAIGN_TYPE,None,1327204,0.18944412464097457,1.448482545753171,0.12209973509925544,1.2091670649586301,1.6877980265477113,0.0,4.171732081508049,7.382133591380338,19.62146211285684,False
DOMINANT_PRIOR_CAMPAIGN_TYPE,Web,1690775,0.29181174313554437,0.06406858033242363,0.06287753669860732,-0.05917139159684673,0.187308552261694,0.3082303718223134,3.0297393421798255,7.010431882089918,0.9139034714266961,False
DOMINANT_PRIOR_CAMPAIGN_TYPE,TV,1422545,0.3454358210109346,-0.39829544481244,0.06664862069965197,-0.5289267413837578,-0.26766414824112217,2.2861379456173836e-09,2.5104554333450477,8.109245908540757,-4.9116212444975975,False
DOMINANT_PRIOR_CAMPAIGN_TYPE,Mobile,1144801,0.3500730694679687,-0.8420287256038306,0.06342108475176907,-0.9663340517172979,-0.7177233994903631,0.0,1.6346015165826246,7.314555593337428,-11.51168673009752,False
DOMINANT_ACR_APP_CATEGORY,Education,67,0.19402985074626866,9.599238723910746,9.18951485009371,-8.412210382272926,27.610687830094417,0.2962143445719154,9.82905982905983,5.555555555555555,172.78629703039343,True
DOMINANT_ACR_APP_CATEGORY,No_ACR_Activity,80583,0.06078205080476031,4.414218322045847,0.7951458319242677,2.855732491474282,5.972704152617411,2.832975343203259e-08,6.82194443869714,5.9179493955209095,74.5903357231614,False
DOMINANT_ACR_APP_CATEGORY,Information,50642,0.06032542158682516,3.1008648693204743,0.4962266900773094,2.1282605567689483,4.073469181872,4.133859921040539e-10,4.532652177042809,4.829049950616765,64.21273130389618,False
DOMINANT_ACR_APP_CATEGORY,Lifestyle,159800,0.12315394242803504,1.8219663846367882,0.30496689668846877,1.2242312671273896,2.4197015021461867,2.310678981487513e-09,5.601371878691667,6.756351698544105,26.96671911009895,False
DOMINANT_ACR_APP_CATEGORY,Sports,8248,0.12002909796314258,1.461724855654988,0.9711117579352628,-0.44165418989812727,3.365103901208103,0.13227069671718072,5.884137600863973,7.24717553044916,20.169579852364834,False
DOMINANT_ACR_APP_CATEGORY,Videos,5285985,0.3042659031382041,-0.05985370289582953,0.03997371495000933,-0.1382021841978478,0.018494778406188756,0.13430832147625282,2.6259325456571045,7.518843606225732,-0.7960493133049028,False
AD_EXPOSURE_DIVERSITY_QUARTILE,Q1_lowest,1396332,0.20279059707863173,0.9903955253982907,0.11225893690168008,0.7703680090709977,1.2104230417255837,0.0,3.456776300123136,7.24094903828619,13.677703297753087,False
AD_EXPOSURE_DIVERSITY_QUARTILE,Q4_highest,1396331,0.30998523988939586,-0.017731375427352192,0.06563125893451781,-0.14636864293900712,0.11090589208430271,0.787032071096208,2.463880442842217,7.129920528412883,-0.2486896643054055,False
AD_EXPOSURE_DIVERSITY_QUARTILE,Q2,1396331,0.3125720190986235,-0.0541924319516979,0.07395713273006778,-0.19914841210263073,0.09076354819923493,0.4637080933619466,2.8949837930432403,7.768912058524164,-0.6975549670720904,False
AD_EXPOSURE_DIVERSITY_QUARTILE,Q3,1396331,0.3469965215983889,-0.5602415623261312,0.06481827513507622,-0.6872853815908806,-0.4331977430613818,0.0,2.3505266925439012,7.613107569677421,-7.358907741663099,False
AVG_DAILY_HOURS_WATCHED_QUARTILE,Q1_lowest,1396332,0.1483930755722851,2.037294564431573,0.11482940960961338,1.8122289215967309,2.2623602072664157,0.0,3.685808500037414,6.216414408565619,32.77282418019587,False
AVG_DAILY_HOURS_WATCHED_QUARTILE,Q2,1396331,0.2704817124306486,-0.19602044946806463,0.07853026754085514,-0.34993977384814073,-0.042101125087988564,0.012556247025496736,2.3940817215790613,8.225698940459374,-2.383024845510789,False
AVG_DAILY_HOURS_WATCHED_QUARTILE,Q4_highest,1396331,0.3991847205282988,-0.5748048290022175,0.05615503841222482,-0.6848687042901782,-0.46474095371425683,0.0,2.440709665680542,7.327963839954609,-7.843991067043501,False
AVG_DAILY_HOURS_WATCHED_QUARTILE,Q3,1396331,0.35428490809127633,-0.9082398800180904,0.06380841736270282,-1.033304378048988,-0.7831753819871929,0.0,2.2040687587649237,8.218430579216355,-11.051256943326193,False
NUM_UNIQUE_APPS_QUARTILE,Q1_lowest,1396332,0.12820518329451736,1.6756756305108884,0.10996628716276119,1.4601417076718766,1.8912095533499003,0.0,2.12606921340757,4.633065393920226,36.16775262248199,False
NUM_UNIQUE_APPS_QUARTILE,Q2,1396331,0.24447355247430588,0.22382867233170706,0.07555482663487217,0.07574121212735761,0.37191613253605654,0.0030518462956463654,1.2933056037493562,7.009806012521742,3.193079408073175,False
NUM_UNIQUE_APPS_QUARTILE,Q3,1396331,0.3432352357714611,-0.5450152785324173,0.06809596267022426,-0.6784833653660568,-0.41154719169877774,1.1102230246251565e-15,1.218114324939691,8.74391125563076,-6.23308337194579,False
NUM_UNIQUE_APPS_QUARTILE,Q4_highest,1396331,0.4564304595400374,-0.9962593593890323,0.06434579275783052,-1.1223771131943803,-0.8701416055836844,0.0,1.4061659094896415,10.90272370464939,-9.137710781060925,False
