,count,mean,std,min,25%,50%,75%,max
HIST_WEB_CAMPAIGN_COUNT_7D,5699320.0,1.0981855730157282,1.5037721693830488,0.0,0.0,1.0,2.0,26.0
HIST_TV_CAMPAIGN_COUNT_7D,5699320.0,0.7760510025757459,1.0407154854060028,0.0,0.0,0.0,1.0,12.0
HIST_MOBILE_CAMPAIGN_RATIO,5699320.0,0.16868123300674345,1.2176029656947256,0.0,0.0,0.0,0.1,281.0
HIST_WEB_CAMPAIGN_RATIO,5699320.0,0.2348272554874382,1.0972359463125834,0.0,0.0,0.02040816327,0.1818181818,407.0
HIST_TV_CAMPAIGN_RATIO,5699320.0,0.1221541570909362,0.21584646058650123,0.0,0.0,0.0,0.1764705882,21.0
STV_YEAR,5077929.0,2023.9249701994652,1.027188862068178,2022.0,2023.0,2024.0,2025.0,2026.0
DMA_CODE,5077908.0,623.844855204151,113.54440776319532,0.0,524.0,602.0,718.0,881.0
TOTAL_TV_USAGE_TIME_7D,5699320.0,2754.218958562892,3135.194313367282,0.0,604.0,1792.0,3815.233333333,123164.0
TOTAL_PROG_TIME_7D,5699320.0,173.13271774820052,585.1902236917873,0.0,0.0,0.0,25.216666667,10981.25
TOTAL_APP_TIME_7D,5699320.0,2166.158970543854,2170.2078377443145,0.0,548.0,1568.0,3162.0,123164.0
TOTAL_HDMI_TIME_7D,5699320.0,388.98237544128074,1104.6253669530215,0.0,0.0,0.0,24.0,71250.0
TOTAL_AD_TIME_7D,5699320.0,23.446914719650767,76.4542434460921,0.0,0.0,0.0,7.0,9209.0
TOTAL_VOD_TIME_7D,5699320.0,2.4979801099078487,22.525948462794105,0.0,0.0,0.0,0.0,11695.0
DAYS_SINCE_LAST_ACTIVE_MISSING,5699320.0,0.09564737547637261,0.2941070727097921,0.0,0.0,0.0,0.0,1.0
DEVICE_COUNTRY_MISSING,5699320.0,0.10902897187734677,0.31167558809304824,0.0,0.0,0.0,0.0,1.0
TAG_TYPE,5699320.0,32.42789683681562,2.152116140170806,17.0,32.0,32.0,32.0,45.0
G_USER_VIDEO_COMPLETE_SUM,5699320.0,17.95367745625794,63.88693572988924,0.0,0.0,1.0,10.0,3606.0
USER_HI2A,5699320.0,0.03923521646903473,0.11683591717254782,0.0,0.00017633333,0.003539,0.017706666,0.91670114
G_USER_HI2A,5699320.0,0.051500716655498595,0.05911447018566667,0.0,0.017553845,0.033692,0.062236365,0.93692
G_USER_VCR,5699320.0,0.5626117078095283,0.4674049393542754,0.0,0.0,0.863636,1.0,6.0
G_USER_BUYER_PRICE,5699320.0,3737.215900168154,5349.372040479577,0.0,11.199328,1290.7185,5526.082775,360000.0
G_USER_MEDIA_PRICE,5699320.0,3604.744043795818,5167.195556785545,0.0,15.0,1252.4897,5329.35865,360000.0
G_USER_VIDEO_START_SUM,5699320.0,18.621612051964092,64.81134563285111,0.0,0.0,2.0,11.0,3617.0
G_USER_ADJUSTED_MEDIA_PRICE,5699320.0,3606.2545638654046,5167.576357165816,0.0,15.0,1254.2712000000001,5332.2804750000005,360000.0
G_USER_DISCREPANCY_PERCENT,5699320.0,0.22754923957919526,0.36572863691806407,0.0,0.0,0.0,0.57,1.0
G_USER_IMPRESSION_21D,5699320.0,64.5593370788094,85.7977541640839,0.0,19.0,42.0,80.0,5202.0
ACR_APP_AVG_USING_TIME,5699320.0,4305.746666557696,3169.831774078161,0.0,2382.384575,3451.2814,5248.449175,82472.73
ACR_APP_USED_APP_CNT,5699320.0,10.37755626987079,9.082671395546287,0.0,5.0,8.0,11.0,113.0
ACR_APP_EDUCATION,5699320.0,0.014991262115480443,0.42670979988219404,0.0,0.0,0.0,0.0,84.0
ACR_APP_LIFESTYLE,5699320.0,9.605489075889755,29.259320259599072,0.0,0.0,2.0,8.0,2136.0
ACR_APP_INFORMATION,5699320.0,11.0905429068731,33.27279373981289,0.0,1.0,3.0,9.0,2192.0
ACR_APP_VIDEOS,5699320.0,140.53850652358528,345.6906913915488,0.0,22.0,50.0,105.0,15432.0
ACR_APP_SPORTS,5699320.0,0.6741402483103247,3.110738755319407,0.0,0.0,0.0,0.0,211.0
AD_COUNT,5699320.0,219.39979909883985,419.3819043160654,0.0,9.0,54.0,205.0,4556.0
TOTAL_AD_LENGTH,5699320.0,6412.677366422661,12539.15349117002,0.0,261.0,1524.0,5802.0,137476.0
AVG_AD_LENGTH,5699320.0,25.329658518234123,10.462579836835957,0.0,25.272726,27.642857,29.922645749999997,212.0
UNIQUE_ADS_COUNT,5699320.0,215.40573910571788,411.96368895006043,0.0,9.0,54.0,202.0,4185.0
AD_CATEGORY_COUNT,5699320.0,57.41944565316564,66.03924973856184,0.0,6.0,32.0,86.0,375.0
ADVERTISER_COUNT,5699320.0,106.09710895334882,165.1485173687737,0.0,7.0,37.0,124.0,1201.0
BRAND_COUNT,5699320.0,135.07515791357565,227.48917100199364,0.0,7.0,41.0,146.0,1814.0
AVG_DAILY_HOURS_WATCHED,5699320.0,2.593038187111902,2.4451455518321743,0.0,0.78,1.8798149,3.6675925,22.156666
AVG_DAILY_APP_OPENS,5699320.0,1.7489541118270233,1.5336968082565623,0.0,0.633333,1.355556,2.433333,156.35556
AVG_SESSION_TIME,5699320.0,89.74090242791169,50.373776692446974,0.0,59.1701865,79.052284,106.57708000000001,1394.0
NUM_UNIQUE_APPS,5699320.0,10.052163766905526,4.200833447475663,0.0,7.0,10.0,13.0,201.0
RATIO_TIME_INFORMATION,5699320.0,0.03180039039745091,0.07653486626073794,0.0,0.004,0.013,0.031,1.0
RATIO_TIME_EDUCATION,5699320.0,7.486700167739297e-05,0.004378702779204289,0.0,0.0,0.0,0.0,1.0
RATIO_TIME_GAME,5699320.0,0.0015738144199658895,0.020814006121155065,0.0,0.0,0.0,0.0,1.0
RATIO_TIME_VIDEOS,5699320.0,0.8546150677624699,0.21242591358556306,0.0,0.83,0.944,0.983,1.0
RATIO_TIME_SPORTS,5699320.0,0.007615377799456773,0.04869317667314865,0.0,0.0,0.0,0.0,1.0
RATIO_TIME_LIFESTYLE,5699320.0,0.09793626888821827,0.18061972331258816,0.0,0.0,0.017,0.098,1.0
RATIO_TIME_AVOD_NULL,5699320.0,0.9936220461388376,0.0796070139977807,0.0,1.0,1.0,1.0,1.0
RATIO_TIME_ENGLISH,5699320.0,0.7089609172673227,0.23749284679529425,0.0,0.567,0.763,0.902,1.0
RATIO_TIME_FRENCH,5699320.0,0.0145982511948794,0.031139551927483876,0.0,0.0,0.003,0.019,1.0
RATIO_TIME_SPANISH,5699320.0,0.025512806440066527,0.04849631429308153,0.0,0.0,0.01,0.032,1.0
RATIO_TIME_GERMAN,5699320.0,0.005389334692559811,0.01951943635145115,0.0,0.0,0.0,0.004,1.0
RATIO_TIME_POLISH,5699320.0,0.011632318066014906,0.025225936175464217,0.0,0.0,0.001,0.015,1.0
RATIO_TIME_CHINESE,5699320.0,0.02177513317378214,0.039088629040512204,0.0,0.0,0.007,0.03,1.0
